Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Start Date/Time,End Date/Time,Short Description,Individuals,Room
Alex Weber - N26,alex-weber-n26,5eb4aa7de668404c10974d70,5ec7d8adeb5c0debd49d6caa,Fri May 22 2020 13:50:37 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:50:37 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 02:00:00 GMT+0000 (Coordinated Universal Time),tba.,hans-herrman-hr-manager,startup-stage
Bear Douglas - Slack,bear-douglas,5eb4aa7de668404c10974d70,5ec7d38f7fee465bad38265b,Fri May 22 2020 13:28:47 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:40:58 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:30:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:45:00 GMT+0000 (Coordinated Universal Time),The new work from home reality.,bear-douglas,tech-stage
Benjamin Ruschin - WeAreDevelopers,benjamin-ruschin,5eb4aa7de668404c10974d70,5ec7d7baafe6873479a44e0d,Fri May 22 2020 13:46:34 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:46:34 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:15:00 GMT+0000 (Coordinated Universal Time),How to get first million in revenue.,benjamin-ruschin,startup-stage
Break,break,5eb4aa7de668404c10974d70,5ec7d5fa4445f8803e9ef429,Fri May 22 2020 13:39:06 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:39:06 GMT+0000 (Coordinated Universal Time),,Wed Jun 03 2020 00:30:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Break,hans-herrman-hr-manager,tech-stage
Break,break-2,5eb4aa7de668404c10974d70,5ec7d60a29d783293880a8d9,Fri May 22 2020 13:39:22 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:39:22 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:30:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Break,hans-herrman-hr-manager,startup-stage
Break,break-3,5eb4aa7de668404c10974d70,5ec7d620ea8b8267219812f8,Fri May 22 2020 13:39:44 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:39:44 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:30:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Break,hans-herrman-hr-manager,sustainability-stage
Deborah Whitman - Stanford,deborah-whitman,5eb4aa7de668404c10974d70,5ec7d712673c25045b6b2fb2,Fri May 22 2020 13:43:46 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:43:46 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:00:00 GMT+0000 (Coordinated Universal Time),How to find problem-solution and product-market fit.,deborah-whitman,creativity-stage
Dejan Jovicevic - Der Brutkasten,dejan-jovicevic,5eb4aa7de668404c10974d70,5ec7d93135d16fb14209161c,Fri May 22 2020 13:52:49 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:49 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 02:00:00 GMT+0000 (Coordinated Universal Time),From intrapreneur to entrepreneur: A story in three acts.,dejan-jovicevic,creativity-stage
Florian Neukart - VW Innovation Lab,florian-neukart,5eb4aa7de668404c10974d70,5ec7d7892df6d02e57647925,Fri May 22 2020 13:45:45 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:45:45 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:15:00 GMT+0000 (Coordinated Universal Time),Applications of Quantum Physics.,florian-neukart,tech-stage
Jubin Honarfar - watchado,jubin-honarfar,5eb4aa7de668404c10974d70,5ec7d6d086239565b8d2bd0c,Fri May 22 2020 13:42:40 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:42:40 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:00:00 GMT+0000 (Coordinated Universal Time),The 4 stages of startup growth.,jubin-honarfar,startup-stage
Karl Johan Sorensen - SAGA,karl-johan-sorensen,5eb4aa7de668404c10974d70,5ec7d3e99c18215660c0728c,Fri May 22 2020 13:30:17 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:41:06 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:00:00 GMT+0000 (Coordinated Universal Time),Entrepreneurship on the moon.,karl-johan-sorensen,tech-stage
Katharina Unger - Livin Farms,katharina-unger,5eb4aa7de668404c10974d70,5ec7d555b5c62eb1a4d34aae,Fri May 22 2020 13:36:21 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:37:06 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:39:04 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:30:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:45:00 GMT+0000 (Coordinated Universal Time),tba.,hans-herrman-hr-manager,sustainability-stage
Live Podcast,live-podcast,5eb4aa7de668404c10974d70,5ec7d5d1eb85e74316fbd771,Fri May 22 2020 13:38:25 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:38:25 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:39:04 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:30:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:30:00 GMT+0000 (Coordinated Universal Time),Future Weekly - the Startup Podcast!,hans-herrman-hr-manager,creativity-stage
Luke Robert Mason - Virtual Futures,luke-robert-mason,5eb4aa7de668404c10974d70,5ec7d7f942bb04f5fffb219f,Fri May 22 2020 13:47:37 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:47:37 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:00:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:15:00 GMT+0000 (Coordinated Universal Time),A short history of predictions.,luke-robert-mason,creativity-stage
Matthias Reisinger - AWS,matthias-reisinger,5eb4aa7de668404c10974d70,5ec7d8ef26a89d2b3b3002da,Fri May 22 2020 13:51:43 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:51:43 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 01:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 02:00:00 GMT+0000 (Coordinated Universal Time),The to invest where the impact is greatest.,matthias-reisinger,sustainability-stage
Opening Remarks,opening-remarks,5eb4aa7de668404c10974d70,5ec0655ee6d8f112a7a773c9,Sat May 16 2020 22:12:46 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:20:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:20:36 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:10:00 GMT+0000 (Coordinated Universal Time),XX,hans-herrman-hr-manager,creativity-stage
Opening Remarks,opening-remarks-2,5eb4aa7de668404c10974d70,5ec7d1f699eb835c6db33a78,Fri May 22 2020 13:21:58 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:21:58 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:22:02 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:10:00 GMT+0000 (Coordinated Universal Time),XX,hans-herrman-hr-manager,startup-stage
Opening Remarks,opening-remarks-3,5eb4aa7de668404c10974d70,5ec7d231be2a0d253d69fc76,Fri May 22 2020 13:22:57 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:24:54 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:31:57 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:10:00 GMT+0000 (Coordinated Universal Time),XX,hans-herrman-hr-manager,sustainability-stage
Opening Remarks,opening-remarks-4,5eb4aa7de668404c10974d70,5ec7d247b7d13a6532b83cb6,Fri May 22 2020 13:23:19 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:23:19 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:23:27 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:00:00 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:10:00 GMT+0000 (Coordinated Universal Time),XX,hans-herrman-hr-manager,tech-stage
Panel,panel,5eb4aa7de668404c10974d70,5ec7d4887fee46b32b38265c,Fri May 22 2020 13:32:56 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:32:56 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:35:13 GMT+0000 (Coordinated Universal Time),Tue Jun 02 2020 23:30:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:00:00 GMT+0000 (Coordinated Universal Time),When is the right time to found your startup?,hans-herrman-hr-manager,startup-stage
Panel,panel-2,5eb4aa7de668404c10974d70,5ec7d82d4735d544867d5927,Fri May 22 2020 13:48:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:48:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 00:45:00 GMT+0000 (Coordinated Universal Time),Wed Jun 03 2020 03:15:00 GMT+0000 (Coordinated Universal Time),Sustainable food for the future.,hans-herrman-hr-manager,startup-stage
