Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Profile Picture,Bio Summary,Job Title,Zoom Link,Type,Availability
Alfons Felice - DirectSens,alfons-felice,5eb60924a11928bb6afb91d7,5ec7cb44afe6876d69a44e03,Fri May 22 2020 12:53:24 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:09:05 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7cb2d2fb5ed369466b12f_WhatsApp%20Image%202020-05-20%20at%2019.43.12.jpeg,XX,,https://whereby.com/entrepreavenue,speaker,
"Alla Spieldiener, HR-Manager & Bel-esprit",alla-spieldiener,5eb60924a11928bb6afb91d7,5eb609e691fcd092e2256934,Sat May 09 2020 01:39:50 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:54:16 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7d3da5497ae1c2c3108a0_1.PNG,"""Bel what? Frag gleich nach!""",,https://whereby.com/beatrice.weisgram,table,17:00-17:30 and 18:15-18:45
Aneta Londova ,aneta-londova,5eb60924a11928bb6afb91d7,5ec7ccaa3b52e385e52c5c55,Fri May 22 2020 12:59:22 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:08:29 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7cc95756310e7d04257d5_aneta-londova.jpg,"""Besides being a puppy lover, traveler, and chocolate addict, Aneta is also a Co-Founder and Chief Buzz Creator at Moonshot Pirates. Together with her team, she is building a global movement encouraging young minds to dream big and to walk their own path by fostering moonshot thinking & sparking the entrepreneurial spirit. Anet is a branding and communications expert. She has organized global conferences and led branding teams at TEDx events. She is enthusiastic about innovation, exponential technologies, social entrepreneurship, and future-oriented education concepts. Anet's rule for life is to have the courage to sail into unexplored waters, always be curious, and look for ways to contribute. """,,https://whereby.com/entrepreavenue,speaker,
"Ariane Hofer, Business Developer",ariane-hofer,5eb60924a11928bb6afb91d7,5eb609e7ca6f427e8d9cebde,Sat May 09 2020 01:39:51 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:33:13 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:35:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7d428cfa1cd16dd3c6d53_2.PNG,Seit 2015 arbeitet Ariane bei der Ersten Bank....,Business Developer,https://whereby.com/ariane.hofer,table,14:00-16:00 and 16:30-18:00
"Astrid Herrera, Talent Acquisition Specialist",astrid-herrera,5eb60924a11928bb6afb91d7,5ec7b852d089da0888262899,Fri May 22 2020 11:32:34 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 11:32:34 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 12:02:36 GMT+0000 (Coordinated Universal Time),,"""I lived in four different cities (Caracas, Tenerife, Madrid and Vienna).""",,,table,16:00-19:00
Bear Douglas - Slack,bear-douglas,5eb60924a11928bb6afb91d7,5ec7cd3e673c25b05d6b2fae,Fri May 22 2020 13:01:50 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:50:04 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7cd2854c5bab49563c2b7_Bear_Douglas-Slack.JPG,"""Bear Douglas leads Developer Relations at Slack, where she and her team help developers build more pleasant and productive ways to work. Before Slack, she led the Developer Relations teams for the mobile and data platforms at Twitter, and worked on native mobile DevRel at Facebook and Parse. She's passionate about developer experience, great documentation, and a cappella music.""",,https://whereby.com/entrepreavenue,speaker,
"Beatrice Weisgram, Marketing & Press",beatrice-weisgram,5eb60924a11928bb6afb91d7,5eb609e683f8a5b5e3336290,Sat May 09 2020 01:39:50 GMT+0000 (Coordinated Universal Time),Wed May 20 2020 17:22:01 GMT+0000 (Coordinated Universal Time),Wed May 20 2020 17:22:06 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec55eaf122f989cf792053f_Weisgram.jpg,"Beatrice Weisgram is responsible for the press and media work of tecnet equity. In addition, she handles all of tecnet’s marketing-related activities. She began her career in the town of Mödling, moved on to Lower Austrian Press in St. Pölten and then worked as executive assistant at a coaching centre in St. Pölten.",Marketing & Press,https://whereby.com/beatrice.weisgram,table,?
Benjamin Ruschin - WeAreDevelopers ,benjamin-ruschin,5eb60924a11928bb6afb91d7,5ec7cc3ab4de8e28c69272a7,Fri May 22 2020 12:57:30 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:08:47 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7c9ef27ec105556b80704_WhatsApp%20Image%202020-05-20%20at%2019.43.07.jpeg,"""Benjamin Ruschin is Managing Director & Co-Founder of WeAreDevelopers, a global job marketplace for software developers and employers, and host of the world’s largest developer congress. Ben is an Advisory Board Member of the governmental organisation fit4internet, which was initiated by the Federal Minister of Digital & Economic Affairs, Dr. Margarete Schramböck. He is an Advisory Board Member of the NGOs “Ms. AI” and “Global Women in Tech”, and a Board Member of the Austrian Software Industry Association (VÖSI). Forbes has recognized him as one of the “30 Under 30” most successful young leaders in Austria.""",,https://whereby.com/entrepreavenue,speaker,
"Birgit Polster, Start-up financing expert of the GründerCenter ",birgit-polster,5eb60924a11928bb6afb91d7,5ec7bf52d699d598a70abf9b,Fri May 22 2020 12:02:26 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:27 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7bf3c21e3ee287866e403_Foto%20Birgit%20Polster%20original.jpg,XX,,https://whereby.com/thomas.ecker,table,XX
Chris Trockner - NOVID-20,chris-trockner,5eb60924a11928bb6afb91d7,5ec7cdfc56b43693c71f07ad,Fri May 22 2020 13:05:00 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:49:40 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:52:53 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7cdf4dc8c169d31db0425_Chris_Trockner_NOVID20.jpg,"""In his position as Managing Director of the NGO NOVID20 Chris worked the last 3 months to fight COVID19, after helping to fund startups with the primeCROWD network for 1,5 years. Through his 5+ years experience in startups (Fintech, EdTech, SportsTech and Social Impact) he knows which traits a startup needs to develop and how to execute.""",,https://whereby.com/entrepreavenue,speaker,
"Cornelia Habacher, Co-Founder",cornelia-habacher,5eb60924a11928bb6afb91d7,5eb609e68ea21447696a5eb7,Sat May 09 2020 01:39:50 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 13:53:32 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5eb6083d042e747eb404f4d6_1588987965058-image4.jpg,"""Crazy Cat Lady (unfreiwillig), geniale Wissenschaftlerin.""",,https://whereby.com/beatrice.weisgram,table,17:00-17:30 and 18:15-18:45
"David Pachernegg, XX",david-pachernegg-xx,5eb60924a11928bb6afb91d7,5ec7c583ea8b82d4619812f2,Fri May 22 2020 12:28:51 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:09:34 GMT+0000 (Coordinated Universal Time),Fri May 22 2020 14:13:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/5eb4aa7dc01e0c70eb9c0043/5ec7d3da5497ae1c2c3108a0_1.PNG,XX,,https://whereby.com/entrepreavenue,table,
